name,year,latitude,longitude,city,region,zipCode,cuisine,price,stars
Auberge du Soleil,2019,38.49199,-122.40534,San Francisco,California,94573,Californian,$$$$,2
Farmhouse Inn & Restaurant,2019,38.49039,-122.8835,San Francisco,California,95436,Californian,$$$$,2
The Kitchen,2019,38.58894,-121.41424,Sacramento,California,95825,Contemporary,$$$$,2
Madrona Manor,2019,38.60428,-122.88647,San Francisco,California,95448,Contemporary,$$$$,2
Harbor House,2019,39.135876,-123.719444,San Francisco,California,N/A,Californian,$$$$,2
Shin Sushi,2019,34.15784,-118.49415,Los Angeles,California,91436,Japanese,$$$,2
Rustic Canyon,2019,34.024952,-118.49118,Los Angeles,California,90401,Californian,$$$,2
Dialogue,2019,34.01679,-118.49748,Los Angeles,California,90401,Contemporary,$$$$,2
Kato,2019,34.041683,-118.460915,Los Angeles,California,90025,Asian,$$$,2
CUT,2019,34.067036,-118.401024,Los Angeles,California,90212,Steakhouse,$$$$,2
Nozawa Bar,2019,34.0683,-118.39849,Los Angeles,California,90210,Japanese,$$$$,2
Shunji,2019,34.028496,-118.45195,Los Angeles,California,90064,Japanese,$$$$,2
Maude,2019,34.064346,-118.39904,Los Angeles,California,90212,Contemporary,$$$$,2
Mori Sushi,2019,34.033398,-118.44229,Los Angeles,California,90064,Japanese,$$$$,2
Trois Mec,2019,34.084255,-118.33851,Los Angeles,California,90028,Contemporary,$$$$,2
Osteria Mozza,2019,34.08342,-118.338974,Los Angeles,California,90028,Italian,$$$,2
Kali,2019,34.083443,-118.32455,Los Angeles,California,90028,Californian,$$$,2
Le Comptoir,2019,34.06354,-118.30057,Los Angeles,California,90020,Californian,$$$$,2
Q Sushi,2019,34.046883,-118.255844,Los Angeles,California,90017,Japanese,$$$$,2
Shibumi,2019,34.044155,-118.256134,Los Angeles,California,90014,Japanese,$$$$,2
Hayato,2019,34.03311,-118.24265,Los Angeles,California,90001,Japanese,$$$$,2
Bistro Na's,2019,34.104412,-118.07159,Los Angeles,California,91780,Chinese,$$,2
Orsa & Winston,2019,33.92145,-118.275406,Los Angeles,California,90013,Fusion,$$$$,2
Taco María,2019,33.69475,-117.924965,Costa Mesa,California,92626,Mexican,$$$,2
Hana re,2019,33.67759,-117.886566,Costa Mesa,California,92626,Japanese,$$$$,2
Addison,2019,32.939903,-117.20013,San Diego,California,92130,Contemporary,$$$$,2
Parachute,2019,41.94483,-87.70638,Chicago,Chicago,60618,Fusion,$$,2
Goosefoot,2019,41.96856,-87.69596,Chicago,Chicago,60625,Contemporary,$$$$,2
Elizabeth,2019,41.969555,-87.688736,Chicago,Chicago,60625,Contemporary,$$$$,2
EL Ideas,2019,41.863,-87.68686,Chicago,Chicago,60618,Contemporary,$$$$,2
Band of Bohemia,2019,41.967308,-87.67477,Chicago,Chicago,60640,Gastropub,$$$,2
Schwa,2019,41.90888,-87.66792,Chicago,Chicago,60662,Contemporary,$$$$,2
Temporis,2019,41.898907,-87.66725,Chicago,Chicago,N/A,Contemporary,$$$$,2
Entente,2019,41.93721,-87.6652,Chicago,Chicago,60657,Contemporary,$$$,2
Elske,2019,41.884426,-87.66071,Chicago,Chicago,60607,Contemporary,$$$$,2
Dusek's (Board & Beer),2019,41.857853,-87.65757,Chicago,Chicago,60608,Gastropub,$$,2
Roister,2019,41.886658,-87.65187,Chicago,Chicago,60607,Contemporary,$$$,2
Boka,2019,41.91363,-87.64806,Chicago,Chicago,60614,Contemporary,$$$,2
Blackbird,2019,41.88423,-87.64356,Chicago,Chicago,60661,Contemporary,$$$,2
Sepia,2019,41.88394,-87.64247,Chicago,Chicago,60661,American,$$$,2
North Pond,2019,41.9296,-87.63762,Chicago,Chicago,60614,Contemporary,$$$,2
Everest,2019,41.87597,-87.63212,Chicago,Chicago,60605,French,$$$$,2
Topolobampo,2019,41.89047,-87.63085,Chicago,Chicago,60654,Mexican,$$$$,2
Spiaggia,2019,41.90062,-87.62457,Chicago,Chicago,60611,Italian,$$$$,2
Monte,2019,45.08279,13.631168,Rovinj,Croatia,52210,Creative,$$$$$,2
Draga di Lovrana,2019,45.275867,14.251401,Lovran,Croatia,51415,Modern cuisine,$$$$$,2
Noel,2019,45.811054,15.988205,Zagreb,Croatia,10000,Modern cuisine,$$$$$,2
Pelegrini,2019,43.73603,15.888903,Šibenik,Croatia,22000,Modern cuisine,$$$$$,2
360º,2019,42.641563,18.111523,Dubrovnik,Croatia,20000,Modern cuisine,$$$$$,2
Field,2019,50.0919,14.42193,Praha,Czech Republic,110 00,Modern cuisine,$$$$$,2
La Degustation Bohême Bourgeoise,2019,50.09115,14.42511,Praha,Czech Republic,110 00,Modern cuisine,$$$$$,2
Gastromé,2019,56.15788,10.20937,Aarhus,Denmark,8000,Modern cuisine,$$$,2
Domestic,2019,56.15893,10.212132,Aarhus,Denmark,8000,Modern cuisine,$$$,2
Substans,2019,56.15415,10.20372,Aarhus,Denmark,8000,Modern cuisine,$$$,2
Frederikshøj,2019,56.12497,10.208638,Aarhus,Denmark,8000,Creative,$$$$,2
Me‚Mu,2019,55.70901,9.53302,Vejle,Denmark,7100,Modern cuisine,$$$,2
Ti Trin Ned,2019,55.56659,9.752689,Fredericia,Denmark,7000,Modern cuisine,$$$,2
Slotskøkkenet,2019,55.771236,11.390805,Hørve,Denmark,4534,Creative,$$$$,2
Søllerød Kro,2019,55.81325,12.49548,København,Denmark,2840,Modern cuisine,$$,2
Jordnær,2019,55.748226,12.541014,København,Denmark,2820,Danish,$$$,2
Relæ,2019,55.693233,12.543222,København,Denmark,2200 N,Modern cuisine,$$,2
Kiin Kiin,2019,55.69188,12.55754,København,Denmark,2200 N,Thai,$$,2
formel B,2019,55.67031,12.53798,København,Denmark,1800 C,Modern cuisine,$$,2
Kokkeriet,2019,55.68768,12.58492,København,Denmark,1306 K,Modern cuisine,$$$,2
Clou,2019,55.68342,12.58497,København,Denmark,2100 K,Modern cuisine,$$$$,2
Marchal,2019,55.68034,12.58508,København,Denmark,1050 K,Modern cuisine,$$,2
Kong Hans Kælder,2019,55.6787,12.584003,København,Denmark,1070 K,Classic French,$$$$,2
Stud!o at The Standard,2019,55.67799,12.59191,København,Denmark,1058 K,Creative,$$$,2
108,2019,55.67785,12.5980835,København,Denmark,1401 K,Modern cuisine,$$$,2
Era Ora,2019,55.673004,12.591292,København,Denmark,1414 K,Italian,$$,2
Alouette,2019,55.66265,12.57634,København,Denmark,2300 S,Modern cuisine,$$$,2
Frederiksminde,2019,55.12417,12.04623,Præstø,Denmark,4720,Creative,$$$,2
Kadeau Bornholm,2019,55.00457,14.969216,Pedersker,Denmark,3720,Creative,$$$$,2
Ask,2019,60.17236,24.95648,Helsingfors / Helsinki,Finland,170,Modern cuisine,$$$,2
Grön,2019,60.16446,24.93308,Helsingfors / Helsinki,Finland,180,Finnish,$$$,2
Demo,2019,60.164806,24.941635,Helsingfors / Helsinki,Finland,120,Modern cuisine,$$$,2
Olo,2019,60.16616,24.947704,Helsingfors / Helsinki,Finland,170,Modern cuisine,$$$,2
Palace,2019,60.16556,24.95256,Helsingfors / Helsinki,Finland,130,Modern cuisine,$$$,2
Ora,2019,60.157578,24.942947,Helsingfors / Helsinki,Finland,150,Modern cuisine,$$$,2
Botrini's,2019,38.02318,23.79377,Athína,Greece,152 33,Mediterranean,$$$$$,2
Varoulko Seaside,2019,37.937378,23.658577,Athína,Greece,185 33,Seafood,$$$$$,2
Hytra,2019,37.95818,23.71895,Athína,Greece,11745,Modern cuisine,$$$$$,2
Loaf On,2019,22.379858,114.27188,Hong Kong,Hong Kong,N/A,Cantonese,$$,2
Lei Garden (Kwun Tong),2019,22.312672,114.22482,Hong Kong,Hong Kong,N/A,Cantonese,$,2
Tim Ho Wan (Sham Shui Po),2019,22.32805,114.16665,Hong Kong,Hong Kong,N/A,Dim Sum,$,2
Lei Garden (Mong Kok),2019,22.320219,114.17133,Hong Kong,Hong Kong,N/A,Cantonese,$,2
Ming Court,2019,22.318314,114.16933,Hong Kong,Hong Kong,N/A,Cantonese,$$$,2
Yat Tung Heen (Jordan),2019,22.308014,114.17147,Hong Kong,Hong Kong,N/A,Cantonese,$$,2
Fu Ho (Tsim Sha Tsui),2019,22.3022,114.17194,Hong Kong,Hong Kong,N/A,Cantonese,$$,2
Shang Palace,2019,22.297325,114.177155,Hong Kong,Hong Kong,N/A,Cantonese,$$$,2
IM Teppanyaki & Wine,2019,22.280807,114.19211,Hong Kong,Hong Kong,N/A,Teppanyaki,$$,2
Ah Yat Harbour View (Tsim Sha Tsui),2019,22.296984,114.17197,Hong Kong,Hong Kong,N/A,Cantonese,$$,2
Rech,2019,22.293434,114.174034,Hong Kong,Hong Kong,N/A,Seafood,$$$$,2
